Tabel 1.1,,,,,,
,,,,,,
"Wanbetalers naar geslacht en leeftijd, 31 december 2016",,,,,,
,Wanbetalers,,,Ten opzichte van de bevolking,,
,Totaal,Mannen,Vrouwen,Totaal,Mannen,Vrouwen
,,,,,,
,aantal,aantal,aantal,%,%,%
,,,,,,
Wanbetalers met bestuursrechtelijke premie,"249,930","153,340","96,590",1.8,2.3,1.4
w.v.,,,,,,
   18 tot 20 jaar,"2,600","1,580","1,020",0.6,0.7,0.5
   20 tot 25 jaar,"25,460","14,510","10,950",2.4,2.7,2.1
   25 tot 30 jaar,"36,030","20,660","15,370",3.3,3.7,2.9
   30 tot 35 jaar,"35,260","21,110","14,150",3.4,4.1,2.8
   35 tot 40 jaar,"29,800","18,490","11,310",2.9,3.6,2.2
   40 tot 45 jaar,"27,670","17,540","10,140",2.6,3.3,1.9
   45 tot 50 jaar,"28,940","18,250","10,690",2.3,2.8,1.7
   50 tot 55 jaar,"24,720","15,630","9,090",1.9,2.4,1.4
   55 tot 60 jaar,"17,820","11,380","6,440",1.5,1.9,1.1
   60 tot 65 jaar,"10,520","6,980","3,540",1.0,1.3,0.7
   65 tot 70 jaar,"6,230","4,170","2,060",0.6,0.8,0.4
   70 tot 75 jaar,"2,960","1,990",970,0.4,0.5,0.2
   75 tot 80 jaar,"1,140",720,420,0.2,0.3,0.1
   80 jaar en ouder,790,340,450,0.1,0.1,0.1
,,,,,,
Bron: CBS,,,,,,
