Tabel 1.2,,,,,,,,,,
,,,,,,,,,,
"Wanbetalers naar herkomst en leeftijd, 31 december 2016",,,,,,,,,,
,Wanbetalers,,,,,Ten opzichte van de bevolking,,,,
,Totaal,18 tot 35 jaar,35 tot 50 jaar,50 tot 65 jaar,65 jaar en ouder,Totaal,18 tot 35 jaar,35 tot 50 jaar,50 tot 65 jaar,65 jaar en ouder
,,,,,,,,,,
,aantal,aantal,aantal,aantal,aantal,%,%,%,%,%
,,,,,,,,,,
Wanbetalers met bestuursrechtelijke premie,"249,930","99,350","86,420","53,050","11,120",1.8,2.8,2.6,1.5,0.4
w.v. ,,,,,,,,,,
   Nederlandse achtergrond,"130,230","42,120","46,840","33,850","7,420",1.2,1.7,1.9,1.2,0.3
   Migratieachtergrond,"119,700","57,230","39,570","19,200","3,700",4.0,5.4,4.6,3.0,0.9
   w.v. ,,,,,,,,,,
     Marokkaans,"16,020","9,910","4,760","1,130",220,6.1,9.3,5.3,2.5,0.9
     Turks,"14,460","6,550","5,770","1,920",230,4.8,5.5,5.5,3.5,1.0
     Surinaams,"22,130","10,080","7,250","4,080",720,7.8,10.6,8.8,5.4,2.3
     Antilliaans,"14,250","7,670","4,040","2,170",360,12.5,15,13,9.7,4.0
     Overig niet-westerse achtergrond,"20,900","11,360","5,980","3,180",380,3.4,4,3.2,2.8,1.2
     Westerse achtergrond,"31,940","11,660","11,770","6,730","1,790",2.2,2.8,3.2,2.0,0.6
,,,,,,,,,,
Bron: CBS,,,,,,,,,,
