Tabel 1.5,,,
"Aantal wanbetalers met een bestuursrechtelijke premie per provincie, absoluut en relatief, 31 december 2016",,,
,,,
Provincie,,,
,,,
,aantal,,%
,,,
Totaal,"249,930",,1.8
,,,
Groningen ,"9,580",,2.0
Friesland ,"8,440",,1.6
Drenthe ,"6,220",,1.6
Overijssel ,"13,460",,1.5
Flevoland ,"8,630",,2.8
Gelderland ,"24,170",,1.5
Utrecht ,"13,960",,1.4
Noord-Holland ,"41,960",,1.9
Zuid-Holland ,"73,570",,2.5
Zeeland ,"3,690",,1.2
Noord-Brabant ,"29,860",,1.5
Limburg ,"16,400",,1.8
,,,
,,,
Bron: CBS,,,
